,cal_burned,steps,distance,floors,mins_sedentary,mins_light_activity,mins_fair_activity,mins_very_active,activity_cals,mins_total_activity
2018-04-26,2635.0,2931.0,1.38,2.0,1347.0,93.0,0.0,0.0,566.0,93.0
2018-04-27,3649.0,9971.0,4.7,19.0,1158.0,219.0,46.0,17.0,1752.0,282.0
2018-04-28,3379.0,3521.0,1.66,2.0,702.0,155.0,22.0,11.0,1124.0,188.0
2018-04-29,2851.0,1639.0,0.77,0.0,891.0,122.0,0.0,0.0,602.0,122.0
2018-04-30,2825.0,1323.0,0.62,0.0,880.0,104.0,0.0,0.0,540.0,104.0
2018-05-01,3292.0,2581.0,1.22,0.0,919.0,167.0,13.0,2.0,1068.0,182.0
2018-05-02,2660.0,1372.0,0.65,0.0,927.0,90.0,0.0,0.0,419.0,90.0
2018-05-03,3121.0,2232.0,1.05,0.0,876.0,157.0,16.0,0.0,1006.0,173.0
2018-05-04,2522.0,904.0,0.43,1.0,1012.0,61.0,0.0,0.0,269.0,61.0
2018-05-05,2551.0,833.0,0.39,0.0,969.0,68.0,0.0,0.0,326.0,68.0
2018-05-06,2771.0,1383.0,0.65,0.0,976.0,103.0,0.0,0.0,506.0,103.0
2018-05-07,2524.0,952.0,0.45,0.0,907.0,63.0,0.0,0.0,283.0,63.0
2018-05-08,2591.0,1187.0,0.56,2.0,1221.0,53.0,17.0,2.0,410.0,72.0
2018-05-09,2153.0,21.0,0.01,0.0,1438.0,2.0,0.0,0.0,8.0,2.0
2018-05-10,3081.0,1364.0,0.64,0.0,1295.0,136.0,5.0,4.0,924.0,145.0
2018-05-11,2950.0,2771.0,1.31,1.0,947.0,130.0,0.0,0.0,727.0,130.0
2018-05-12,3318.0,4125.0,1.95,2.0,756.0,184.0,4.0,7.0,1113.0,195.0
2018-05-13,2572.0,1689.0,0.8,0.0,895.0,84.0,0.0,0.0,394.0,84.0
2018-05-14,2966.0,3710.0,1.75,0.0,959.0,119.0,19.0,0.0,794.0,138.0
2018-05-15,3152.0,4313.0,2.03,0.0,767.0,183.0,9.0,0.0,1011.0,192.0
2018-05-16,3497.0,5882.0,2.77,1.0,825.0,234.0,5.0,6.0,1396.0,245.0
2018-05-17,3066.0,4080.0,1.92,4.0,867.0,158.0,0.0,0.0,897.0,158.0
2018-05-18,4376.0,13958.0,6.58,7.0,682.0,178.0,67.0,92.0,2549.0,337.0
2018-05-19,4112.0,14917.0,7.04,7.0,646.0,193.0,34.0,89.0,2228.0,316.0
2018-05-20,3098.0,4986.0,2.35,3.0,795.0,174.0,5.0,6.0,978.0,185.0
2018-05-21,3009.0,3989.0,1.88,3.0,727.0,182.0,0.0,0.0,932.0,182.0
2018-05-22,3581.0,4680.0,2.21,1.0,625.0,209.0,33.0,2.0,1460.0,244.0
2018-05-23,3772.0,6889.0,3.25,0.0,921.0,241.0,42.0,14.0,1765.0,297.0
2018-05-24,2756.0,3470.0,1.64,0.0,804.0,143.0,0.0,0.0,723.0,143.0
2018-05-25,3155.0,5389.0,2.54,1.0,821.0,145.0,32.0,13.0,1127.0,190.0
2018-05-26,3121.0,4092.0,1.93,2.0,1258.0,172.0,7.0,3.0,999.0,182.0
